index,Country,SubRegion,latitude,longitude,total_ocas
105,Argentina,Latin America - Other,-34.7256546,-58.35934067,6
106,Argentina,Latin America - Other,-34.72306442,-58.26018906,1
107,Argentina,Latin America - Other,-34.72052002,-58.79300308,1
108,Argentina,Latin America - Other,-34.71086884,-58.2800827,1
109,Argentina,Latin America - Other,-34.70399857,-58.42020798,1
110,Argentina,Latin America - Other,-34.69628143,-58.38277435,3
111,Argentina,Latin America - Other,-34.6895752,-58.31229782,3
112,Argentina,Latin America - Other,-34.68310547,-58.43760681,1
113,Argentina,Latin America - Other,-34.67783737,-58.54793167,7
114,Argentina,Latin America - Other,-34.6776619,-58.5473938,7
115,Argentina,Latin America - Other,-34.67669296,-58.55881119,6
116,Argentina,Latin America - Other,-34.66704941,-58.72547913,4
117,Argentina,Latin America - Other,-34.65468216,-58.68398666,2
118,Argentina,Latin America - Other,-34.65093231,-58.62097168,2
119,Argentina,Latin America - Other,-34.65079117,-59.43086624,1
120,Argentina,Latin America - Other,-34.64917374,-58.62176132,4
121,Argentina,Latin America - Other,-34.64619446,-59.43888855,1
122,Argentina,Latin America - Other,-34.64451599,-58.37199783,6
123,Argentina,Latin America - Other,-34.64226914,-58.56781769,4
124,Argentina,Latin America - Other,-34.63843918,-58.82635117,1
125,Argentina,Latin America - Other,-34.63822937,-58.79709625,4
126,Argentina,Latin America - Other,-34.63748169,-58.50611496,3
127,Argentina,Latin America - Other,-34.63708496,-58.76197434,2
128,Argentina,Latin America - Other,-34.63567734,-58.55493927,1
129,Argentina,Latin America - Other,-34.63541031,-58.37683487,14
130,Argentina,Latin America - Other,-34.63537979,-58.3769455,13
131,Argentina,Latin America - Other,-34.6330986,-58.57175446,2
132,Argentina,Latin America - Other,-34.62978745,-58.43889237,2
133,Argentina,Latin America - Other,-34.62874603,-58.3901329,2
134,Argentina,Latin America - Other,-34.62528992,-58.43162918,4
135,Argentina,Latin America - Other,-34.61789703,-68.3289032,1
136,Argentina,Latin America - Other,-34.61425018,-68.33184815,3
137,Argentina,Latin America - Other,-34.6125946,-58.37969589,2
138,Argentina,Latin America - Other,-34.61021423,-58.40790939,1
139,Argentina,Latin America - Other,-34.60977173,-58.4221344,4
140,Argentina,Latin America - Other,-34.60953522,-58.45316315,6
141,Argentina,Latin America - Other,-34.60701752,-58.95251083,1
142,Argentina,Latin America - Other,-34.60680008,-58.37929153,7
143,Argentina,Latin America - Other,-34.60641098,-58.40070343,6
144,Argentina,Latin America - Other,-34.60612488,-58.38169479,1
145,Argentina,Latin America - Other,-34.60400391,-58.44485092,4
146,Argentina,Latin America - Other,-34.6038475,-58.44485855,2
147,Argentina,Latin America - Other,-34.60300827,-58.46864319,6
148,Argentina,Latin America - Other,-34.59919739,-59.17105484,1
149,Argentina,Latin America - Other,-34.59883499,-58.80605316,1
150,Argentina,Latin America - Other,-34.59775543,-58.37287903,3
151,Argentina,Latin America - Other,-34.59155273,-58.39788055,2
152,Argentina,Latin America - Other,-34.59033966,-58.46709061,2
153,Argentina,Latin America - Other,-34.5901413,-58.39422226,1
154,Argentina,Latin America - Other,-34.58999252,-58.38022232,1
155,Argentina,Latin America - Other,-34.58648682,-60.94958115,1
156,Argentina,Latin America - Other,-34.58638382,-58.50259018,2
157,Argentina,Latin America - Other,-34.58318329,-58.46880722,2
158,Argentina,Latin America - Other,-34.57978439,-58.55146027,2
159,Argentina,Latin America - Other,-34.56521225,-59.11035156,2
160,Argentina,Latin America - Other,-34.56398773,-58.45323563,7
161,Argentina,Latin America - Other,-34.56226349,-58.47544861,2
162,Argentina,Latin America - Other,-34.55778885,-58.46448135,2
163,Argentina,Latin America - Other,-34.54064941,-58.71533966,3
164,Argentina,Latin America - Other,-34.53042221,-58.52434921,7
165,Argentina,Latin America - Other,-34.51686478,-58.51986694,12
166,Argentina,Latin America - Other,-34.51666641,-58.51980209,13
167,Argentina,Latin America - Other,-34.51258087,-58.5151329,2
168,Argentina,Latin America - Other,-34.49921417,-58.52936935,2
169,Argentina,Latin America - Other,-34.49799347,-58.52962875,1
170,Argentina,Latin America - Other,-34.48791504,-58.72546005,1
171,Argentina,Latin America - Other,-34.4848938,-58.66578674,1
172,Argentina,Latin America - Other,-34.48437882,-58.71167755,1
173,Argentina,Latin America - Other,-34.48091126,-58.63153458,6
174,Argentina,Latin America - Other,-34.47786331,-58.90916824,2
175,Argentina,Latin America - Other,-34.46940231,-58.75841141,2
176,Argentina,Latin America - Other,-34.46121216,-58.56126785,1
177,Argentina,Latin America - Other,-34.4545784,-58.83631516,2
178,Argentina,Latin America - Other,-34.45437622,-58.79624558,3
179,Argentina,Latin America - Other,-34.45138168,-59.4498291,1
180,Argentina,Latin America - Other,-34.44997788,-58.66193008,5
181,Argentina,Latin America - Other,-34.44855499,-58.69573212,1
182,Argentina,Latin America - Other,-34.44789124,-58.68366623,1
183,Argentina,Latin America - Other,-34.4099617,-58.71870422,4
184,Argentina,Latin America - Other,-34.29935837,-60.24262619,1
185,Argentina,Latin America - Other,-33.93240356,-61.03739166,1
186,Argentina,Latin America - Other,-33.74928665,-61.96420288,1
187,Argentina,Latin America - Other,-33.6812973,-65.4638443,2
188,Argentina,Latin America - Other,-33.67666626,-65.46240997,1
189,Argentina,Latin America - Other,-33.45713806,-61.49455261,2
190,Argentina,Latin America - Other,-33.30745316,-66.33616638,2
191,Argentina,Latin America - Other,-33.26914215,-66.3230896,2
192,Argentina,Latin America - Other,-33.226017,-60.33245087,1
193,Argentina,Latin America - Other,-33.18233872,-66.31187439,1
194,Argentina,Latin America - Other,-33.13959503,-61.47227478,2
195,Argentina,Latin America - Other,-33.08975601,-68.46793366,2
196,Argentina,Latin America - Other,-33.03709793,-68.86164856,2
197,Argentina,Latin America - Other,-32.97706604,-60.73536682,3
198,Argentina,Latin America - Other,-32.96505737,-60.64435959,1
199,Argentina,Latin America - Other,-32.95874405,-60.64005661,2
200,Argentina,Latin America - Other,-32.95552063,-60.64994049,2
201,Argentina,Latin America - Other,-32.95295715,-60.64574051,1
202,Argentina,Latin America - Other,-32.94698334,-60.64413834,12
203,Argentina,Latin America - Other,-32.94457626,-60.64891434,1
204,Argentina,Latin America - Other,-32.93881989,-60.66057205,2
205,Argentina,Latin America - Other,-32.93352509,-60.6702652,7
206,Argentina,Latin America - Other,-32.92968369,-68.81014252,1
207,Argentina,Latin America - Other,-32.91754532,-60.81404114,1
208,Argentina,Latin America - Other,-32.90364838,-68.84432221,3
209,Argentina,Latin America - Other,-32.88890839,-68.84870148,2
210,Argentina,Latin America - Other,-32.88461304,-68.84065247,2
211,Argentina,Latin America - Other,-32.88434982,-68.8446579,6
212,Argentina,Latin America - Other,-32.88422012,-68.84215546,3
213,Argentina,Latin America - Other,-32.88394547,-68.84553528,1
214,Argentina,Latin America - Other,-32.8249588,-60.71546936,1
215,Argentina,Latin America - Other,-32.63016892,-62.68970871,2
216,Argentina,Latin America - Other,-32.57467651,-60.84999847,1
217,Argentina,Latin America - Other,-32.48576737,-58.24308395,1
218,Argentina,Latin America - Other,-32.41451645,-63.250103,3
219,Argentina,Latin America - Other,-32.38315964,-63.20956039,2
220,Argentina,Latin America - Other,-32.30316544,-59.14554596,1
221,Argentina,Latin America - Other,-32.19937897,-61.70484161,1
222,Argentina,Latin America - Other,-32.1753273,-64.11193085,1
223,Argentina,Latin America - Other,-32.16547775,-64.10947418,1
224,Argentina,Latin America - Other,-32.07478333,-64.53356171,1
225,Argentina,Latin America - Other,-32.03070831,-61.22058487,1
226,Argentina,Latin America - Other,-31.74716187,-60.48919296,1
227,Argentina,Latin America - Other,-31.74080658,-60.52127838,1
228,Argentina,Latin America - Other,-31.66665649,-68.45317078,1
229,Argentina,Latin America - Other,-31.64440346,-60.70351791,1
230,Argentina,Latin America - Other,-31.63842583,-60.70079041,2
231,Argentina,Latin America - Other,-31.62082672,-60.69905472,2
232,Argentina,Latin America - Other,-31.60305786,-60.71564484,4
233,Argentina,Latin America - Other,-31.55670929,-68.52566528,1
234,Argentina,Latin America - Other,-31.55653572,-63.53413391,1
235,Argentina,Latin America - Other,-31.53795624,-68.52552795,1
236,Argentina,Latin America - Other,-31.53615189,-68.51958466,1
237,Argentina,Latin America - Other,-31.53370094,-68.544487,2
238,Argentina,Latin America - Other,-31.52996635,-68.5467453,1
239,Argentina,Latin America - Other,-31.46320534,-64.17068481,3
240,Argentina,Latin America - Other,-31.45548058,-64.16506958,1
241,Argentina,Latin America - Other,-31.42247391,-64.18802643,1
242,Argentina,Latin America - Other,-31.41620445,-64.18106842,7
243,Argentina,Latin America - Other,-31.40774536,-64.18878174,1
244,Argentina,Latin America - Other,-31.4072113,-64.47563171,1
245,Argentina,Latin America - Other,-31.40691185,-64.23280335,2
246,Argentina,Latin America - Other,-31.40378571,-64.21189117,12
247,Argentina,Latin America - Other,-31.40074158,-58.01958084,1
248,Argentina,Latin America - Other,-31.3930912,-58.01581955,1
249,Argentina,Latin America - Other,-31.39306259,-58.01568604,2
250,Argentina,Latin America - Other,-31.37613487,-64.2226944,3
251,Argentina,Latin America - Other,-31.3749733,-64.22776794,3
252,Argentina,Latin America - Other,-31.36013794,-64.16879273,4
253,Argentina,Latin America - Other,-31.35255814,-64.34012604,2
254,Argentina,Latin America - Other,-31.25277519,-61.48122788,1
255,Argentina,Latin America - Other,-30.99229622,-64.09758759,2
256,Argentina,Latin America - Other,-30.76333809,-57.9793396,1
257,Argentina,Latin America - Other,-30.75343132,-57.98123932,1
258,Argentina,Latin America - Other,-30.71625328,-62.00513458,1
259,Argentina,Latin America - Other,-29.42189026,-66.85749817,3
260,Argentina,Latin America - Other,-29.14801788,-59.64548874,1
261,Argentina,Latin America - Other,-29.14653397,-59.64425659,1
262,Argentina,Latin America - Other,-28.46350098,-65.78321075,1
263,Argentina,Latin America - Other,-27.80008888,-64.27190399,2
264,Argentina,Latin America - Other,-27.7844677,-64.26797485,1
265,Argentina,Latin America - Other,-27.60480499,-55.32036209,1
266,Argentina,Latin America - Other,-27.48937988,-55.12342835,1
267,Argentina,Latin America - Other,-27.47717667,-58.95674133,2
268,Argentina,Latin America - Other,-27.47691536,-58.82979584,1
269,Argentina,Latin America - Other,-27.47579575,-59.01613236,1
270,Argentina,Latin America - Other,-27.47301674,-58.83364487,7
271,Argentina,Latin America - Other,-27.45617676,-58.98714066,1
272,Argentina,Latin America - Other,-27.45377159,-58.98577499,4
273,Argentina,Latin America - Other,-27.44898987,-58.98391724,1
274,Argentina,Latin America - Other,-27.44385147,-58.98030853,1
275,Argentina,Latin America - Other,-27.38804436,-55.91547775,1
276,Argentina,Latin America - Other,-27.36713409,-55.90212631,1
277,Argentina,Latin America - Other,-27.36388588,-55.89089966,1
278,Argentina,Latin America - Other,-27.36385536,-55.89096832,1
279,Argentina,Latin America - Other,-27.32912064,-55.0518074,1
280,Argentina,Latin America - Other,-27.04117203,-55.22707748,3
281,Argentina,Latin America - Other,-26.8438797,-65.23002625,2
282,Argentina,Latin America - Other,-26.82780266,-65.20549011,7
283,Argentina,Latin America - Other,-26.82770348,-65.20545197,7
284,Argentina,Latin America - Other,-26.8272152,-65.24946594,1
285,Argentina,Latin America - Other,-26.82713127,-65.2117691,1
286,Argentina,Latin America - Other,-26.79459953,-65.28398895,2
287,Argentina,Latin America - Other,-26.78935814,-60.43967438,1
288,Argentina,Latin America - Other,-26.78775024,-60.43936157,1
289,Argentina,Latin America - Other,-26.53365707,-59.33838654,1
290,Argentina,Latin America - Other,-26.18577766,-58.17556763,2
291,Argentina,Latin America - Other,-26.1793499,-58.1857338,2
292,Argentina,Latin America - Other,-25.29436684,-57.72055817,1
293,Argentina,Latin America - Other,-24.80780411,-65.41672516,2
294,Argentina,Latin America - Other,-24.80288506,-65.40914154,4
295,Argentina,Latin America - Other,-24.77977371,-65.43830872,2
296,Argentina,Latin America - Other,-24.77866936,-65.44374847,3
297,Argentina,Latin America - Other,-24.1918354,-65.3193512,2
298,Argentina,Latin America - Other,-24.18556786,-65.30594635,3
299,Argentina,Latin America - Other,-24.17944527,-65.324646,1
300,Argentina,Latin America - Other,-23.81420326,-64.79116058,1
301,Australia,Australia/NZ,-42.88957596,147.3211975,1
302,Australia,Australia/NZ,-42.8819046,147.3289185,1
303,Australia,Australia/NZ,-42.87910843,147.3045349,2
304,Australia,Australia/NZ,-42.87494278,147.3188171,2
